,vv_list,vh_list,vv_by_vh
16,"[0.022450566291809082, 0.05065713822841644, 0.018919343128800392, 0.009587054140865803, 0.011256946250796318, 0.05438105762004852, 0.03587199002504349, 0.013733191415667534, 0.05527456849813461, 0.029604507610201836, 0.026953808963298798, 0.019135944545269012, 0.0692090168595314, 0.021585123613476753, 0.0171661414206028, 0.005632665939629078, 0.0025890646502375603, 0.008017110638320446]","[0.20267720520496368, 0.14083752036094666, 0.271278977394104, 0.11746541410684586, 0.047906339168548584, 0.07233487069606781, 0.1573035717010498, 0.06806900352239609, 0.1285761445760727, 0.0639827698469162, 0.02498067542910576, 0.02479989267885685, 0.12020054459571838, 0.4652099311351776, 0.10671810805797577, 0.14275777339935303, 0.023830078542232513, 0.014497213065624237]","[9.027710150853029, 2.7802107518569406, 14.338710152211549, 12.252503467789701, 4.255713592410524, 1.3301482880575737, 4.385136469742289, 4.956532058873035, 2.326135654598766, 2.161250938180356, 0.9267957439009928, 1.2959847694054976, 1.7367757851506667, 21.552340374123318, 6.21677903281705, 25.3446192139621, 9.204126494116698, 1.80828402146903]"
17,"[0.019265729933977127, 0.016535373404622078, 0.017358655110001564, 0.028289027512073517, 0.03986264392733574, 0.015690237283706665, 0.03238874301314354, 0.034291792660951614, 0.035591550171375275, 0.032370805740356445, 0.0260513536632061, 0.00805614609271288, 0.02499641291797161, 0.03997167944908142, 0.030001100152730942, 0.009433502331376076, 0.0036016807425767183, 0.009251954965293407]","[0.35435983538627625, 0.515623927116394, 0.224607452750206, 0.19706040620803833, 0.1517748385667801, 0.22151151299476624, 0.04689742997288704, 0.12806400656700134, 0.0187104269862175, 0.022960394620895386, 0.08224453777074814, 0.058903954923152924, 0.11206792294979095, 0.12746742367744446, 0.22020815312862396, 0.018534783273935318, 0.11752837896347046, 0.10756940394639969]","[18.393273268163366, 31.183083351009383, 12.939219733721972, 6.965966084339047, 3.807445357699938, 14.117792420181699, 1.4479546166350385, 3.734538110421653, 0.5256985687930354, 0.7092932689120812, 3.1570159015155923, 7.311679088892642, 4.483360205224396, 3.188943407790031, 7.340002600157276, 1.9647828158464693, 32.63153715267617, 11.626667482701947]"
18,"[0.02429778315126896, 0.03075866959989071, 0.049671486020088196, 0.03508686646819115, 0.02190079540014267, 0.0183258093893528, 0.06281204521656036, 0.03944765031337738, 0.031041495501995087, 0.04702300578355789, 0.0643991082906723, 0.007074827793985605, 0.025288784876465797, 0.007372783962637186]","[0.3806559443473816, 0.18262383341789246, 0.13055650889873505, 0.017676658928394318, 0.07751104235649109, 0.06314300000667572, 0.13170021772384644, 0.030336391180753708, 0.072095587849617, 0.2992529571056366, 0.1445244699716568, 0.11402486264705658, 0.1133836954832077, 0.16971147060394287]","[15.666282885873139, 5.937312497369566, 2.6283994975695966, 0.5037970245766895, 3.5391884605244135, 3.4455776912839373, 2.0967350652215946, 0.7690291041356679, 2.3225552340087257, 6.363969127857702, 2.244199862509432, 16.11698064848878, 4.483556487078374, 23.018641460808304]"
19,"[0.03404010459780693, 0.02125353366136551, 0.020339541137218475, 0.005838669370859861, 0.031155157834291458, 0.028927341103553772, 0.026093969121575356, 0.02586836740374565, 0.006088101305067539, 0.044985052198171616, 0.02372574247419834, 0.002965804422274232, 0.009813949465751648, 0.006406059954315424]","[0.37158912420272827, 0.13609258830547333, 0.2891002297401428, 0.06923791021108627, 0.041483499109745026, 0.02168378420174122, 0.12148911505937576, 0.07418607175350189, 0.09460137039422989, 0.1730911284685135, 0.18683180212974548, 0.10876516997814178, 0.15235565602779388, 0.0946420431137085]","[10.916215698898537, 6.403292293594513, 14.213704615544664, 11.858508473976084, 1.3315130461026103, 0.7495947907592976, 4.6558311805054045, 2.8678296776765277, 15.53873131438972, 3.847747640838542, 7.874645117341402, 36.67307566246688, 15.524397854246033, 14.773830371342864]"
20,"[0.020758608356118202, 0.023528384044766426, 0.035689231008291245, 0.030407851561903954, 0.035992641001939774, 0.02039444074034691, 0.06762733310461044, 0.017813678830862045, 0.02330903336405754, 0.13385330140590668, 0.04517173022031784, 0.028475424274802208, 0.03403118997812271, 0.016782883554697037]","[0.2558147609233856, 0.0690777450799942, 0.10579119622707367, 0.06159493699669838, 0.07126829028129578, 0.03437265753746033, 0.13174693286418915, 0.120047926902771, 0.0822836309671402, 0.21965382993221283, 0.2730349898338318, 0.27048778533935547, 0.2156742662191391, 0.20030644536018372]","[12.32330975828585, 2.93593240184124, 2.964232997973436, 2.0256260746111616, 1.9800794911786237, 1.6853934841890472, 1.9481314258007818, 6.7390867457871195, 3.5301176879355842, 1.64100420105529, 6.044377501197045, 9.498990523512903, 6.337547007841555, 11.935162673766143]"
21,"[0.006640838459134102, 0.004799345973879099, 0.023794183507561684, 0.03824346140027046, 0.025079786777496338, 0.06837578117847443, 0.010525123216211796, 0.02017897553741932, 0.018573636189103127, 0.03195097669959068, 0.015968341380357742, 0.02251448854804039, 0.04477081447839737, 0.023573480546474457, 0.09371446818113327, 0.012396915815770626, 0.016480905935168266, 0.006331556010991335]","[0.16007424890995026, 0.10090994834899902, 0.08253345638513565, 0.2140226513147354, 0.07797053456306458, 0.29913529753685, 0.04068269208073616, 0.0625685378909111, 0.1292330026626587, 0.14927637577056885, 0.0796969011425972, 0.09597356617450714, 0.25186800956726074, 0.21148906648159027, 0.3398512601852417, 0.62102210521698, 0.30350375175476074, 0.05327707156538963]","[24.104523833097772, 21.02577078172966, 3.46863998753758, 5.596320089196262, 3.1088994198717113, 4.374872102097776, 3.8652936640278766, 3.1006796046154963, 6.957873049030526, 4.6720442124225015, 4.990931696928171, 4.262746896058648, 5.625718729972872, 8.97148242766466, 3.626454556924659, 50.09488766770137, 18.41547745910741, 8.414530562929983]"
22,"[0.02282734028995037, 0.02152237482368946, 0.0338858962059021, 0.013865802437067032, 0.039833322167396545, 0.04115638509392738, 0.041172802448272705, 0.013217663392424583, 0.019508803263306618, 0.027649762108922005, 0.048667244613170624, 0.03136909753084183, 0.00955065619200468, 0.011386740021407604]","[0.4644162952899933, 0.12285881489515305, 0.05410722643136978, 0.06748522818088531, 0.20277363061904907, 0.033732589334249496, 0.09731481224298477, 0.06713160872459412, 0.058400511741638184, 0.11138419061899185, 0.34510281682014465, 0.115842804312706, 0.06565801799297333, 0.055574338883161545]","[20.344739658279433, 5.708422787987299, 1.5967476882593301, 4.8670265198989915, 5.090552823259585, 0.8196198295176982, 2.3635702807756616, 5.078931633488953, 2.9935466032138187, 4.0283959833075915, 7.091069559478427, 3.6928956658319656, 6.874712760358691, 4.880618928567719]"
23,"[0.035624973475933075, 0.0232083722949028, 0.055284515023231506, 0.026041995733976364, 0.05495139956474304, 0.02653251402080059, 0.027415724471211433, 0.06931916624307632, 0.04336018115282059, 0.0655878335237503, 0.045446109026670456, 0.025201896205544472, 0.01483762264251709, 0.03251372277736664]","[0.4329776167869568, 0.1459849327802658, 0.13911032676696777, 0.02077428810298443, 0.14053182303905487, 0.15318509936332703, 0.02492363564670086, 0.08234105259180069, 0.2372749149799347, 0.31960245966911316, 0.19777686893939972, 0.32474690675735474, 0.2629334628582001, 0.5614957809448242]","[12.153766713102554, 6.290184030369425, 2.5162620438745136, 0.7977225829847102, 2.5573838728799267, 5.7734860421909175, 0.9091000193291462, 1.1878540532796007, 5.472184586675785, 4.8728924634075685, 4.351898835240935, 12.885812405096317, 17.7207271806985, 17.269501397597296]"
24,"[0.006285042501986027, 0.05495128780603409, 0.017712431028485298, 0.04580843448638916, 0.014737850986421108, 0.01843239553272724, 0.022290335968136787, 0.02762909233570099, 0.017752794548869133, 0.017785748466849327, 0.06679163128137589, 0.04019448161125183, 0.006214098073542118, 0.008843892253935337]","[0.06457553058862686, 0.5984557271003723, 0.4042398929595947, 0.05157049372792244, 0.09059035032987595, 0.1376287043094635, 0.06233572959899902, 0.11627483367919922, 0.09624284505844116, 0.0743214413523674, 0.08682334423065186, 0.2706974446773529, 0.0734100341796875, 0.07665710896253586]","[10.274477947956832, 10.8906588179114, 22.822383461055814, 1.125785989111794, 6.1467815364222655, 7.466674858680188, 2.7965361171812595, 4.208420322550895, 5.421278593266428, 4.178707547275526, 1.2999135155853214, 6.734691774245331, 11.81346565678562, 8.667802225702731]"
25,"[0.005993603263050318, 0.013110393658280373, 0.007185394875705242, 0.05500568822026253, 0.053645916283130646, 0.04256318137049675, 0.00902832206338644, 0.031148886308073997, 0.0344480462372303, 0.06395377218723297, 0.05406634137034416, 0.09094669669866562, 0.0032168745528906584, 0.029874728992581367]","[0.06453103572130203, 0.3312501013278961, 0.2293458878993988, 0.03459863364696503, 0.04946566000580788, 0.053874436765909195, 0.013613126240670681, 0.0462864525616169, 0.10818525403738022, 0.0883842408657074, 0.15373551845550537, 0.22431834042072296, 0.08157354593276978, 0.0978572741150856]","[10.766651192801895, 25.266220829203125, 31.918341561832207, 0.6290010136482553, 0.9220768966782047, 1.26575211323966, 1.5078246151494206, 1.4859745579288703, 3.140533814090658, 1.3820019968009245, 2.843460729152104, 2.466481450821228, 25.358012751684218, 3.2755870066431725]"
26,"[0.026987677440047264, 0.04091817885637283, 0.03422930836677551, 0.034271158277988434, 0.016855161637067795, 0.037760958075523376, 0.0492231547832489, 0.029417259618639946, 0.01806408166885376, 0.02512306720018387, 0.02353883907198906, 0.010414188727736473, 0.05458001047372818, 0.03779773414134979, 0.0792597159743309, 0.008835773915052414, 0.0036323387175798416, 0.00911840982735157]","[0.2424081712961197, 0.3222704231739044, 0.1071065217256546, 0.2382391393184662, 0.0249777901917696, 0.04805866628885269, 0.06422489136457443, 0.058476150035858154, 0.0260948296636343, 0.03508950024843216, 0.02679990604519844, 0.03827238827943802, 0.22124823927879333, 0.3991104066371918, 0.1010422557592392, 0.35211506485939026, 0.031911883503198624, 0.016865599900484085]","[8.982179805380657, 7.875971809623002, 3.1290881071268433, 6.9515928637720314, 1.4819074850542255, 1.272707810875283, 1.3047699126028136, 1.987817723130313, 1.444569956115025, 1.3967044695949924, 1.1385398389120223, 3.675023497270203, 4.053649630303572, 10.559109314454243, 1.2748248529172475, 39.85107227104752, 8.785492208849098, 1.849620736490046]"
27,"[0.012846121564507484, 0.02900538221001625, 0.020463397726416588, 0.005279826000332832, 0.007296259049326181, 0.006629843730479479, 0.05218322575092316, 0.02746572345495224, 0.04345589131116867, 0.05188543349504471, 0.017076214775443077, 0.03709626942873001, 0.029500268399715424, 0.026202861219644547, 0.04605142027139664, 0.0652172863483429, 0.021455055102705956, 0.03861353546380997]","[0.05729455128312111, 0.061013612896203995, 0.4748915433883667, 0.24949198961257935, 0.41438040137290955, 0.3297165036201477, 0.028364799916744232, 0.05680646002292633, 0.026100393384695053, 0.122816301882267, 0.06305694580078125, 0.07970794290304184, 0.10667112469673157, 0.059181585907936096, 0.0770958736538887, 0.06733476370573044, 0.5304785966873169, 0.47064876556396484]","[4.46006609819263, 2.10352728519242, 23.206876479526183, 47.25382798540174, 56.793542906234684, 49.73216821149752, 0.5435616428185726, 2.0682673848404955, 0.6006180657485892, 2.367067086256425, 3.6926770147832784, 2.1486781320741186, 3.6159374298357427, 2.2585925030037206, 1.6741258619068984, 1.032468038398248, 24.725109963498152, 12.188699115756293]"
28,"[0.0038187524769455194, 0.004915018565952778, 0.002726378384977579, 0.008863549679517746, 0.012549390085041523, 0.006568260956555605, 0.03288506343960762, 0.029052389785647392, 0.03459307923913002, 0.008509119041264057, 0.029376370832324028, 0.02552424557507038, 0.030784007161855698, 0.03090318851172924, 0.0456613190472126, 0.02990393340587616, 0.0999600738286972, 0.03382766991853714]","[0.021030237898230553, 0.013420808129012585, 0.13806915283203125, 0.03382818028330803, 0.19357366859912872, 0.30470097064971924, 0.06330733746290207, 0.10231245309114456, 0.1995294988155365, 0.11043252795934677, 0.14519616961479187, 0.09266926348209381, 0.09231559932231903, 0.23415136337280273, 0.08079808205366135, 0.03316241130232811, 0.47972050309181213, 0.22230517864227295]","[5.507096368563765, 2.7305711970206885, 50.641962829809735, 3.8165499722396294, 15.424946335030452, 46.38990025900316, 1.925109178492661, 3.5216536004790036, 5.767902227964672, 12.97813879719112, 4.942617671990529, 3.630636729674949, 2.998816847882845, 7.576932175912239, 1.7695082783333145, 1.108964859312175, 4.799121136244007, 6.571696459662228]"
29,"[0.006103084422647953, 0.0023126027081161737, 0.007258693687617779, 0.0048197535797953606, 0.012631034478545189, 0.00932394340634346, 0.029615266248583794, 0.03156666085124016, 0.040013689547777176, 0.024545863270759583, 0.008316601626574993, 0.04125528782606125, 0.01911304146051407, 0.0510265976190567, 0.03038378432393074, 0.03345708176493645, 0.096928171813488, 0.12455952912569046]","[0.08908089250326157, 0.008397454395890236, 0.013142270036041737, 0.014072158373892307, 0.2996910512447357, 0.25572794675827026, 0.25962918996810913, 0.1806936115026474, 0.11918741464614868, 0.12120957672595978, 0.026965653523802757, 0.04596065357327461, 0.06531020998954773, 0.08741161227226257, 0.04638175666332245, 0.22149518132209778, 0.16098013520240784, 0.21413922309875488]","[14.5960446119164, 3.631170354691286, 1.8105558109526565, 2.9196841998071177, 23.726564261524633, 27.427016189768814, 8.766734959896727, 5.724191492859419, 2.978665951407366, 4.938085712811391, 3.2423885060980084, 1.1140548519998679, 3.4170495640096377, 1.7130597835435006, 1.5265299466594573, 6.620277969198983, 1.6608188536989068, 1.7191717454444726]"
